sample_id,Axis1,Axis2,Axis3,Axis4,Axis5
Control Without Sucrose,-19.13974785,9.094664634,-8.581732187,-4.323253334,-12.91800914
Control Without Sucrose,-20.40783464,10.62231041,-8.261607294,-5.182122242,-11.58568118
Control Without Sucrose,-19.13974785,9.522742813,-7.880153061,-4.240294593,-11.83552626
Control With Sucrose,-65.68102734,28.7468,29.00189,19.748652,25.32736
Control With Sucrose,-69.75878009,25.71411,30.98608,19.834233,26.77147328
Control With Sucrose,-68.64466616,24.35461,32.98771,18.84166,28.7159
CHX 0.1%,-29.76252669,12.74578148,-10.37928432,-7.361526977,-15.36369843
CHX 0.1%,-28.96653237,14.73323158,-9.742948988,-9.867229843,-18.45168801
CHX 0.1%,-26.58247164,13.53023989,-11.00293748,-8.52110706,-17.35374934
CHX 0.2%,-14.18786451,7.484536713,-5.136435161,-3.729880353,-9.294245113
CHX 0.2%,-13.11883653,5.909733232,-5.059051035,-2.314868312,-9.661914896
CHX 0.2%,-12.5954535,7.007995803,-4.161587101,-1.565527559,-7.886532453
ISOWE,-41.0855377,18.98579483,-22.78342329,-12.26392191,-22.08271729
ISOWE,-45.24489497,17.80996268,-23.22823497,-15.87902418,-21.46472972
ISOWE,-49.19341687,16.8278372,-25.72884314,-15.143386,-22.59518308
Combination ISOWE + 0.1% CHX,-11.40073557,4.630114255,-6.254220664,-1.833562991,-9.5564417
Combination ISOWE + 0.1% CHX,-12.27769603,5.580920051,-6.022893091,-2.318505554,-10.23632715
Combination ISOWE + 0.1% CHX,-13.61733158,7.459682003,-5.686117519,-2.30570494,-7.22483474
